[0.186s] Invoking command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake /home/amightyk05/ros2_sw/src/omni_based_robot/pal_urdf_utils -DCMAKE_INSTALL_PREFIX=/home/amightyk05/ros2_sw/install/pal_urdf_utils
[0.197s] -- Found ament_cmake_auto: 2.5.6 (/opt/ros/jazzy/share/ament_cmake_auto/cmake)
[0.371s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.441s] -- Found ament_lint_auto: 0.17.5 (/opt/ros/jazzy/share/ament_lint_auto/cmake)
[0.447s] -- Added test 'copyright' to check source files copyright and LICENSE
[0.451s] -- Added test 'lint_cmake' to check CMake code style
[0.452s] -- Added test 'xmllint' to check XML markup files
[0.453s] -- Configuring done (0.3s)
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_d435.gazebo.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_d435.urdf.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_d435i.gazebo.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_d435i.urdf.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_d455.gazebo.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_d455.urdf.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_t265.gazebo.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/realsense_t265.urdf.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/rpi_camera.gazebo.xacro
[0.505s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/structure_sensor.gazebo.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/structure_sensor.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/camera/xtion_pro_live.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/deg_to_rad.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/ati.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/ati_talos.gazebo.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/ati_talos.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/ft_sensor.gazebo.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/ft_sensor.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/ftsensor.ros2_control.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/rokubi.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/schunk.gazebo.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/ft_sensors/schunk.urdf.xacro
[0.506s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/interaction_sensors/imu.gazebo.xacro
[0.507s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/interaction_sensors/imu.urdf.xacro
[0.507s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/interaction_sensors/imu_sensors.ros2_control.xacro
[0.507s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/interaction_sensors/imu_talos.gazebo.xacro
[0.507s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/interaction_sensors/imu_talos.urdf.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/interaction_sensors/microphone.urdf.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/hokuyo_urg_04lx_ug01_laser.gazebo.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/hokuyo_urg_04lx_ug01_laser.urdf.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/range.gazebo.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/range.urdf.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_nanoscan3_laser.gazebo.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_nanoscan3_laser.urdf.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_tim551_laser.gazebo.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_tim551_laser.urdf.xacro
[0.508s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_tim561_laser.gazebo.xacro
[0.509s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_tim561_laser.urdf.xacro
[0.509s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_tim571_laser.gazebo.xacro
[0.509s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/sick_tim571_laser.urdf.xacro
[0.509s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/ydlidar_tg15_laser.gazebo.xacro
[0.509s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/ydlidar_tg15_laser.urdf.xacro
[0.509s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/ydlidar_tg30_laser.gazebo.xacro
[0.510s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/laser/ydlidar_tg30_laser.urdf.xacro
[0.510s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/materials.urdf.xacro
[0.510s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/urdf/pi.urdf.xacro
[0.510s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/elp_camera.stl
[0.510s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/head_front_camera.stl
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/orbbec.STL
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/os1_64.dae
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/structure_sensor.stl
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/t265.stl
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/camera/xtion_pro_live.dae
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/ft_sensors/ati_ft_sensor.stl
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/ft_sensors/rokubi_ft_sensor.stl
[0.511s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/laser/hokuyo_urg_04lx_ug01.stl
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/laser/sick_tim551.stl
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/laser/srf05.stl
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/laser/ydlidar.dae
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/meshes/laser/ydlidar.stl
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/ament_index/resource_index/package_run_dependencies/pal_urdf_utils
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/ament_index/resource_index/parent_prefix_path/pal_urdf_utils
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/environment/ament_prefix_path.sh
[0.512s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/environment/ament_prefix_path.dsv
[0.513s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/environment/path.sh
[0.513s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/environment/path.dsv
[0.513s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/local_setup.bash
[0.513s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/local_setup.sh
[0.513s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/local_setup.zsh
[0.513s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/local_setup.dsv
[0.514s] -- Symlinking: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/package.dsv
[0.515s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/ament_index/resource_index/packages/pal_urdf_utils
[0.515s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/cmake/pal_urdf_utilsConfig.cmake
[0.515s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/cmake/pal_urdf_utilsConfig-version.cmake
[0.516s] -- Up-to-date symlink: /home/amightyk05/ros2_sw/install/pal_urdf_utils/share/pal_urdf_utils/package.xml
[0.528s] Invoked command in '/home/amightyk05/ros2_sw/build/pal_urdf_utils' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy:/home/amightyk05/ros2_sw/install/launch_pal /usr/bin/cmake --install /home/amightyk05/ros2_sw/build/pal_urdf_utils
